input_text,output_text
"The editor of English Without Tears, which Anatole de Grunwald produced, is Alan Jaggs. Anatole de Grunwald wrote English Without Tears.","['Alan Jaggs edited English Without Tears which was written by Anatole de Grunwald and produced by Alan Jaggs.', 'Anatole de Grunwald is the author of English Without Tears which was produced by Alan Jaggs.']"
"1147 Stavropolis, whose periapsis is 260,855,000,000, was discovered on June 11, 1929.",['1147 Stavropolis was discovered on June 11th 1929 and has a periapsis of 260855000000.0.']
"Andrzej Piotr Ruszczyński influenced Darinka Dentcheva, which is from the United States. Darinka Dentcheva was born on January 01, 1958. She graduated from Humboldt University.","['Darinka Dentcheva was born on January 1, 1958 and is a citizen of the United States. She attended Humboldt University and was influenced by Andrzej Piotr Ruszczyński.']"
"Agremiação Sportiva Arapiraquense play in Campeonato Brasileiro Série C, whose champions are Vila Nova Futebol Clube. They played in the 2015 season and play their home games in Estádio Municipal Coaracy da Mata Fonseca. Estádio Municipal Coaracy da Mata Fonseca is in Arapiraca. Campeonato Brasileiro Série C is in Brazil.","[""Agremiação Sportiva Arapiraquense's ground is the Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. They played in the Campeonato Brasileiro Série C league in Brazil where Vila Nova Futebol Clube were champions. Agremiação Sportiva Arapiraquense played in the 2015 season."", 'Estadio Municipal Coaracy da Mata Fonseca is located in Arapiraca and is the home ground of Agremiacao Sportiva Arapiraquense. They played in the 2015 season in the Campeonato Brasileiro Série C league which is based in Brazil. The previous champions of this league were Vila Nova Futebol Clube.', 'Estadio Municipal Coaracy da Mata Fonseca is located in Arapiraca and is the ground of Agremiação Sportiva Arapiraquense. They play in the Campeonato Brasileiro Série C league in Brazil and competed in the 2015 season. The Vila Nova Futebol Clube have been champions of the league.']"
"Lady Anne Monson, who is from the Kingdom of England, was born on January 01, 1726. She worked in Botany.","['Botanist Lady Anne Monson was born in the Kingdom of England on January 1st, 1726.', 'The botany professional Lady Anne Monson was born in the Kingdom of England on January 1st 1726.']"
"Aleksandr Prudnikov, who played for the FC Spartak Moscow youthclub and FC Spartak Moscow, was born on February 24, 1989.","[""Aleksandr Prudnikov was born 1989-02-24 and played for FC Spartak Moscow's youth team."", ""Aleksandr Prudnikov was born on 24 February 1989 and plays for FC Spartak Moscow's youth team and FC Spartak Moscow."", ""Aleksandr Prudnikov was born on 24 February 1989 and his club is FC Spartak Moscow's youth team.""]"
"Acharya Institute of Technology, established in 2000, is in Bangalore.",['The Acharya Institute of Technology in Bangalore was established in 2000.']
Nie Haisheng was born in Zaoyang and Zaoyang is part of Hubei.,"['Nie Haisheng was born in Zaoyang, Hubei.']"
"Lady Anne Monson, who died on February 18, 1776, was born in Darlington, the Kingdom of England on January 01, 1726. She lives in India.","['Lady Anne Monson was born in Darlington, Kingdom of England on January 1st 1726 and died on 18th February 1776. She resided in India.', 'Darlington, in the Kingdom of England, is the birth place of Lady Anne Monson. She was born on 1 January 1726 and died on 18 February 1776 in India.']"
"Tom Simon and Sarah Teale produced Death on a Factory Farm, which HBO broadcasts. New York City, New York is the HBO's headquarters. Time Warner owns the HBO.","['Sarah Teale and Tom Simon are the producers of Death on a Factory Farm, which is broadcast by HBO, which is owned by Time Warner and has its headquarters in New York City.', 'Tom Simon and Sarah Teale are the producers of Death on a Factory Farm, which was broadcast by Time Warner and is based in New York City.', 'Death on a Factory Farm was produced by Tom Simon and Sarah Teale. It was broadcast by HBO which is owned by Time Warner and has its headquarters in New York City, New York.']"
Darinka Dentcheva lives in New Jersey.,"['Darinka Dentcheva resides in New Jersey.', 'Darinka Dentcheva lives in New Jersey.']"
"Bionico, found in Guadalajara, is a dessert and the main ingredients in Bionico are chopped fruits, sour cream, condensed milk, granola, shredded coconut and raisins. It comes from Mexico, whose currency is the Mexican peso. Mexicans live in Mexico. Silvano Aureoles Conejo is Mexico's leader.","['Bionico is a dessert dish from the Guadalajara region of Mexico. The main ingredients are chopped fruits, sour cream, condensed milk, granola, shredded coconut and raisins. The leader of Mexico is Silvano Aureoles Conejo and the currency is the Mexican peso. The people of Mexico are known as Mexicans.', 'Bionico is a dessert from the Guadalajara region of Mexico. The currency in Mexico is the peso and the leader is Silvano Aureoles Conejo. The main ingredients of Bionico are chopped fruits, sour cream, condensed milk, granola, shredded coconut and raisins.']"
The Lord of the Rings follows The Hobbit.,['The Hobbit was followed by The Lord of the Rings.']
"Felipe Gozon is a key person at GMA New Media, which owns Philippine Entertainment Portal and Digify, Inc. GMA New Media is in the entertainment sector and its parent company is GMA Network.","['GMA New Media, Inc., a subsidiary of GMA Network, offers applications in the entertainment industry. Philippine Entertainment Portal, Inc. and Digify Inc. are subsidiaries of GMA New Media, where Felipe Gozon is a key person.']"
Anatole de Grunwald and Terence Rattigan wrote English Without Tears.,"['English Without Tears was written by Terence Rattigan and Anatole de Grunwald.', 'English Without Tears was written by Anatole de Grunwald and Terence Rattigan.']"
Nord is Sludge metal and Post-metal and subgenres of Sludge metal are Southern sludge and Stoner sludge.,['The music genre of Nord (Year of No Light album) is Post-metal. Sludge metal has the sub genre stoner sludge and the sub genre southern sludge.']
"ENAIRE operates Adolfo Suárez Madrid–Barajas Airport, which is in Madrid. The length of Adolfo Suárez Madrid–Barajas Airport's runway is 3,500.","['The Adolfo Suárez Madrid–Barajas Airport in Madrid is operated by ENAIRE and has a runway length of 3500.', 'Adolfo Suárez Madrid–Barajas Airport is located in Madrid and is operated by ENAIRE. The runway length is 3500.']"
"Tom Simon is the director of Death on a Factory Farm, whose editor is Geof Bartz.","['Tom Simon and Geof Bartz are the editors of Death on a Factory Farm.', 'Tom Simon is the director of Death on a Factory Farm which was edited by Geof Bartz.', 'Death on a Factory Farm was written by Geof Bartz and the director was Tom Simon.']"
"Lady Anne Monson was born in the Kingdom of England on January 01, 1726. She is from the Kingdom of England. George Monson is his spouse.","['Lady Anne Monson was born in the Kingdom of England on January 1st 1726. She was married to George Monson.', 'Lady Anne Monson was born in the Kingdom of England on 1726-01-01. She was married to George Monson.', 'Married to George Monson, Lady Anne Monson was born in the Kingdom of England on January 1st 1726.']"
"The IMDb identifier of McVeagh of the South Seas, the director of which is Cyril Bruce, is 0004319.","['McVeagh of the South Seas has an imdb id of 0004319 and its director is Cyril Bruce.', 'Cyril Bruce is the director of McVeagh of the South Seas which has the imdb ID 0004319.', 'Cyril Bruce was the director of McVeagh of the South Seas which has the IMDB id 0004319.']"
"Tom Simon is the director of Death on a Factory Farm, which Tom Simon and Sarah Teale produced. HBO broadcasts Death on a Factory Farm. Death on a Factory Farm's editor is Geof Bartz. Jamie Lawrence composed its music. Death on a Factory Farm has a runtime of 83.","['Death on a Factory Farm was edited by Geof Bartz and broadcasted by HBO. It was produced by Sarah Teale, Tom Simon and Jamie Lawrence and has a runtime of 83 minutes.', 'Tom Simon is the director of Death on a Factory Farm which was produced by Sarah Teale and broadcasted by HBO. Jamie Lawrence is the composer of Death on a Factory Farm which has an 83.0 runtime and was edited by Geof Bartz.', 'Death on a Factory Farm was produced by Sarah Teale and Tom Simon. It was edited by Geof Bartz and has a runtime of 83 minutes. The director of Death on a Factory Farm is Tom Simon and the music was composed by Jamie Lawrence. Death on a Factory Farm was broadcast by HBO.']"
"Tom Simon is the director of Death on a Factory Farm, which Tom Simon and Sarah Teale produced. Sarah Teale is the director of Death on a Factory Farm.","['Tom Simon and Sarah Teale are the producers and directors of Death on a Factory Farm.', 'Death on a Factory Farm was produced by Sarah Teale and Tom Simon.']"
"Lady Anne Monson, who died on February 18, 1776, was born in Darlington on January 01, 1726. She lives in India.","['Lady Anne Monson was born in Darlington on January 1st 1726. She resided in India and died on February 18th 1776.', 'Lady Anne Monson was born in Darlington on January 1st 1726 and died on 18th February 1776 in India.', 'Darlington born Lady Anne Monson, who died in India on 18 February 1776, was born on 1 January 1726.']"
Detroit is part of Michigan.,['Detroit is part of Michigan.']
"Trane, which has 29,000 employees, was founded on January 01, 1913. It produces hvac and is in the building materials sector.","['Trane, a building materials company founded on 01-01-1913, has 29,000 employees and produces HVAC.', 'Trane, a company in the building materials industry that produces HVAC, was founded on 1913-01-01. Trane has 29,000 employees.', 'Trane, a company in the building materials industry that produces HVAC, was founded on 1913-01-01 and employs 29,000 people.']"
The production of the Pontiac Rageous started in 1997. The Pontiac Rageous is a coupe.,"['The Pontiac Rageous has a Coupe body style and its production started in 1997.', 'Production of the Pontiac Rageous Coupe began in 1997.']"
Expect a Miracle is Instrumental music.,['Expect a Miracle is an instrumental music genre.']
"Gdynia, Poland is in the Central European Time time zone.","['Gdynia, Poland is in the Central European Time Zone.']"
"Brian Kelly wrote Expect a Miracle, which is a compilation album. Expect a Miracle, which follows Pools of Light, has a runtime of 54.56.","['Expect a Miracle is a compilation album by the composer Brian Kelly. It has a runtime of 54.56 and was preceded by Pools of Light.', 'Expect a Miracle is a compilation album by Brian Kelly (composer & pianist). It was preceded by Pools of Light and has a runtime of 54.56.']"
The distributor of Super Capers is Roadside Attractions.,['Super Capers is distributed by Roadside Attractions.']
Lady Anne Monson was born in Darlington.,['Lady Anne Monson was born in Darlington.']
"The population density of Ciudad Ayala, which is part of Morelos, is 1,604. Morelos is in Mexico and its total area is 4,879.","['With a population density of 1604.0, Ciudad Ayala is part of Morelos (Mexico), which has a total area of 4879.0.', 'Ciudad Ayala is part of Morelos, Mexico and has a population density of 1604.0. Morelos has a total area of 4879.0.']"
"Nicholas Brodszky composed the music of English Without Tears. Anatole de Grunwald produced English Without Tears, the director of which is Harold French.","['English Without Tears was produced by Anatole de Grunwald, directed by Harold French and written by Nicholas Brodszky.', 'English Without Tears was produced by Anatole de Grunwald and the director was Harold French. The music was composed by Nicholas Brodszky.']"
"ENAIRE operates Adolfo Suárez Madrid–Barajas Airport, which is 610 metres above the sea level and in Madrid, Paracuellos de Jarama, San Sebastián de los Reyes and Alcobendas.","['Adolfo Suárez Madrid–Barajas Airport is located at Madrid, Paracuellos de Jarama, San Sebastián de los Reyes and Alcobendas. It is operated by ENAIRE and is 610 metres above sea level.']"
"Agremiação Sportiva Arapiraquense play in Campeonato Brasileiro Série C, whose champions are Vila Nova Futebol Clube. Its stadium has 17,000 seats. Agremiação Sportiva Arapiraquense, the manager of which is Vica, play their home games in Estádio Municipal Coaracy da Mata Fonseca. Estádio Municipal Coaracy da Mata Fonseca is in Arapiraca. Campeonato Brasileiro Série C is in Brazil.","[""Agremiação Sportiva Arapiraquense's ground is the Estádio Municipal Coaracy da Mata Fonseca in Arapiraca. They are managed by Vica and have 17000 members. They play in the Campeonato Brasileiro Série C league in Brazil where Vila Nova Futebol Clube have been champions."", 'Estadio Municipal Coaracy da Mata Fonseca is located in Arapiraca and is the ground of Agremiação Sportiva Arapiraquense. Vica is the manager of Agremiação Sportiva Arapiraquense who have 17000 members and play in the Campeonato Brasileiro Série C league in Brazil. The Vila Nova Futebol Clube have been champions of this league.']"
"The editor of It's Great to Be Young, the director of which is Cyril Frankel, is Max Benedict, which died in 1986. Louis Levy composed It's Great to Be Young's music.","[""It's Great to Be Young (1956 film) was edited by Max Benedict who died in 1986. The film was directed by Cyril Frankel and the music composer was Louis Levy.""]"
Nurhan Atasoy lives in Istanbul and Turkey. She is from Turkey and Turkish people. She received the State Award for Superior Achievement.,"['Nurhan Atasoy is a Turkish national who lives in Istanbul and was awarded the State Award for Superior Achievement.', 'Nurhan Atasoy is a Turkish citizen who lives in Istanbul, Turkey. He was awarded the State Award for Superior Achievement.']"
"Cyril Bruce is the director of McVeagh of the South Seas, which Harry Carey wrote.","['McVeagh of the South Seas was written by Harry Carey (actor born 1878) and directed by Cyril Bruce.', 'McVeagh of the South Seas was written by Harry Carey and directed by Cyril Bruce. Harry Carey was born in 1878.']"
"Alan B. Miller Hall, completed on June 01, 2009, houses the Mason School of Business. College of William & Mary owns it.","['The College of William and Mary is the owner of the Alan B. Miller Hall which was completed on 1 June 2009 and is currently tenanted by the Mason School of Business.', 'The Mason School of Business are the current tenants of Alan B Miller Hall, which was completed on 1 June 2009 and is owned by the College of William and Mary.']"
The President governs India.,['The title of the leader of India is President.']
"Bionico, which comes from Mexico, is a dessert and Mexico's currency is the Mexican peso. Sandesh can be a variation of Dessert.",['Sandesh (confectionery) and Bionico are both served as a dessert. The latter dish comes from Mexico where the currency is the peso.']
"11th Mississippi Infantry Monument is in Adams County, Pennsylvania (a contributing property), Pennsylvania and Gettysburg, Pennsylvania. Carroll County, Maryland is located to Adams County, Pennsylvania's southeast and Cumberland County, Pennsylvania to Adams County, Pennsylvania's north.","['The 11th Mississippi Infantry Monument is located in Gettysburg, Adams County, Pennsylvania and is categorised as a contributing property. Adams County has Carroll County, Maryland to its southeast and Cumberland County, Pennsylvania to its north.', 'The 11th Mississippi Infantry Monument is located in Gettysburg, Adams County, Pennsylvania. It is categorised as a contributing property. To the north of Adams County lies Cumberland County and to the southeast lies Carroll County, Maryland.']"
"The budget of the Super Capers, the runtime of which is 98, was $2,000,000. Super Capers grossed $30,955 at the box office.","['Super Capers has a budget of 2000000.0, a runtime of 98 minutes and a gross of $30955.0.', 'Super Capers, with a budget of 2000000.0, has a runtime of 98.8 and a gross of 30955.0.', 'With a runtime of 98.0, Super Capers has a budget of 2000000 and a gross of 30955.0.']"
"Turn Me On, written by The Honeymoon Killers, has a runtime of 35.1. The Honeymoon Killers and Wharton Tiers produced it. Turn Me On follows Let It Breed.",['The Honeymoon Killers are the producers of the album Turn Me On which was preceded by Let It Breed. The album was produced by Wharton Tiers and has a runtime of 35.1.']
"University of Burgundy has 2,900 staff members, 27,400 students and 1,299 doctoral students.","['The University of Burgundy has 2900 members of staff, 27400 students and 1299 doctoral students.']"
"Bill Oddie stars in Bananaman, which Steve Bright created. BBC, which is in Broadcasting House, broadcasts Bananaman. John Reith, 1st Baron Reith founded it.","['Bananaman was created by Steve Bright and starred Bill Oddie. It was broadcast by the BBC which was founded by John Reith, 1st Baron Reith and is located in Broadcasting House in London.']"
"Bedford Aerodrome, operated by MotorSport Vision, is in Thurleigh, whose postal code is MK44. Peter Ogden founded MotorSport Vision.","['Bedford Aerodrome, located in Thurleigh (postcode MK44), is operated by MotorSport Vision, founded by Peter Ogden.', 'The Bedford Aerodrome is operated by MotorSport Vision which was founded by Peter Ogden. The Aerodrome is located in Thurleigh which has the postal code MK44.']"
"Liselotte Grschebina is from Israel, whose leader is Reuven Rivlin.","['Liselotte Grschebina is a national of Israel, the leader of which, is Reuven Rivlin.', 'Liselotte Grschebina is an Israeli whose leader is Reuven Rivlin.']"
"ALCO RS-3 has the V12 engine engine. ALCO RS-3, whose length is 17,068.8 millimetres, has 12 cylinders.","['The ALCO RS-3 has 12 cylinders, a V12 engine and is 17068.8 millimetres long.']"
Pontiac Rageous was assembled in Detroit.,"['The Pontiac Rageous was assembled in Detroit.', 'The Pontiac Rageous is assembled in Detroit.']"
"Mermaid, followed by Imagine, is Reggae. Happy Xmas follows Imagine, which is Pop music.","['The train song Mermaid is Reggae and was followed by the pop song Imagine and Happy Xmas (War Is Over).', 'Mermaid is a train song that contains elements of reggae music. It was followed by the John Lennon song Imagine, which is a pop music song, and followed by Happy Xmas (War Is Over).']"
"Lady Anne Monson, born in the Kingdom of England, died on February 18, 1776. She is from the Kingdom of England.","['Lady Anne Monson was born in the Kingdom of England and died on 1776-02-18.', 'Lady Anne Monson was born in the Kingdom of England and died on 18 February 1776.']"
"MotorSport Vision operates Bedford Aerodrome, which is in Thurleigh.",['The Bedford Aerodrome in Thurleigh is operated by MotorSport Vision.']
"Cecil Parker and John Mills star in It's Great to Be Young, which Ted Willis wrote. Cyril Frankel is the director of It's Great to Be Young. John Mills died in 2005.","[""The film It's Great to Be Young was written by Ted Willis and directed by Cyril Frankel. It starred Cecil Parker and John Mills, who died in 2005."", ""John Mills starred in the 1956 film It's Great to Be Young which was written by Ted Willis and directed by Cyril Frankel. John Mills died in 2005. Cecil Parker also starred in the film."", ""Cyril Frankel was the director of It's Great to Be Young which was written by Ted Willis and starred John Mills and Cecil Parker. John Mills died in 2005.""]"
"Tom Simon is the director of Death on a Factory Farm, which Tom Simon produced, and Death on a Factory Farm's editor is Geof Bartz. HBO broadcasts Death on a Factory Farm. Jamie Lawrence composed Death on a Factory Farm's music. Death on a Factory Farm has a runtime of 83.","['Tom Simon is the director of Death on a Factory Farm which was broadcast by HBO. It was written by Jamie Lawrence and its runtime is 83.0. It was edited by Geof Bartz.', 'Death on a Factory Farm was produced by Tom Simon and its editor was Geof Bartz. It was directed by Tom Simon and its runtime is 83.0. The music was composed by Jamie Lawrence and it was broadcast by HBO.']"
"The distributors of Super Capers, in which the English language is spoken, are Roadside Attractions and Lionsgate. Its iso 6391 code is ""en"". Lionsgate is a public company.","['Lionsgate is a public company that distributes Super Capers, a company that speaks English. Super Capers is distributed by Roadside Attractions. Super Capers uses the iso6391 code for English.', 'Lionsgate is a publicly traded company that distributes Super Capers, which is a subsidiary of Roadside Attractions. Super Capers is distributed in English, which is the language spoken in the UK. The iso6391 code for Super Capers is en.', 'Lionsgate, a public company, is the distributor of Super Capers which is distributed by Roadside Attractions. The book is written in English which has the ISO-639-1 code.']"
Nord is Sludge metal.,"['The genre of Nord (Year of No Light album) is sludge metal.', 'The musical genre of the band Nord (Year of No Light) is sludge metal.']"
"1147 Stavropolis was discovered on June 11, 1929.","['1147 Stavropolis was discovered on 11th June 1929.', '1147 Stavropolis was discovered on June 11th 1929.']"
Lady Anne Monson was born in the Kingdom of England and Kingdom of England's capital is Winchester.,"['Lady Anne Monson was born in the Kingdom of England, the capital of which, is Winchester.', 'Lady Anne Monson was born in the Kingdom of England whose capital is Winchester.', 'Winchester is the capital of the Kingdom of England, the birthplace of Lady Anne Monson.']"
"Ciudad Ayala, whose population density is 1,604, is a city (in Mexico). It has a UTC offset of −6. The Governator governs it.","['Ciudad Ayala is a city in Mexico with a population density of 1604.0 and a UTC offset of -6. The leader of Ciudad Ayala is the Governator.', 'Ciudad Ayala is a city in Mexico with a population density of 1604.0 and a UTC offset of 6. The Governator is the leader of Ciudad Ayala.']"
"The length of the runway of Bedford Aerodrome is 1,095 and Bedford Aerodrome is in Thurleigh.","['The runway length of Bedford Aerodrome, located in Thurleigh, is 1095.0.', 'The runway length of Bedford Aerodrome in Thurleigh is 1095.0.']"
"The apoapsis of 1147 Stavropolis, whose magnitude is 11.5, is 418,476,000,000. 1147 Stavropolis was last seen in 31 July 2016. Its periapsis is 260,855,000,000 and its orbital period is 1,249.6.",['The celestial body known as 1147 Stavropolis has an orbital period of 1249.6 and its epoch date was on 31 July 2016. It has an absolute magnitude of 11.5 and its periapsis is 260855000000.0 and its apoapsis is 418476000000.0.']
"Agremiação Sportiva Arapiraquense, also called Alvinegro, plays in Campeonato Brasileiro Série C, which is in Brazil. Its stadium has 17,000 seats.","['Agremiação Sportiva Arapiraquense, nicknamed Alvinegro, has 17000 members and play in the Campeonato Brasileiro Série C league in Brazil.']"
"Nie Haisheng, who is from the People's Republic of China, was born in Hubei.","[""Nie Haisheng was born in Hubei and is a national of the People's Republic of China."", ""Nie Haisheng was born in Hubei in the People's Republic of China.""]"
"11th Mississippi Infantry Monument, which is in Adams County, Pennsylvania, was established in 2000 and Franklin County, Pennsylvania is located to Adams County, Pennsylvania's west.","['The 11th Mississippi Infantry Monument, established in 2000, is located in Adams County, Pennsylvania, which has Franklin County to its west.', 'The 11th Mississippi Infantry Monument was established in 2000 and is located in Adams County, Pennsylvania which has Franklin County to its west.', 'The 11th Mississippi Infantry Monument was established in 2000 and is located in Adams County, Pennsylvania, which has Franklin County to its west.']"
Anatole de Grunwald died in London.,['Anatole de Grunwald died in London.']
Acharya Institute of Technology is affiliated with Visvesvaraya Technological University and has 700 postgraduate students.,"['The Acharya Institute of Technology is affiliated to the Visvesvaraya Technological University and has 700 postgraduate students.', 'Acharya Institute of Technology is affiliated with Visvesvaraya Technological University and has 700 postgraduate students.']"
"Adam West stars in Super Capers, which Ray Griggs wrote. Ray Griggs is the director of Super Capers. Super Capers grossed $30,955 at the box office.","['Super Capers, starring Adam West, was written by Ray Griggs and directed by Ray Griggs. It has a gross of $30955.0.']"
